method,seed,embedding_dim,microstates,lag,backend,trajectory_sha256,intrinsic_participation_ratio,intrinsic_suggested_dimension,symbol_count,unique_symbols,rules_learned,categories_learned,exact_reconstruction,score_total_proxy_units,real_gain_bits_proxy,surrogate_gain_bits_proxy_mean,real_minus_shuffled_bits_proxy,heldout_log_loss_bits_per_symbol,heldout_perplexity,heldout_evaluated_symbols,fit_wall_time_seconds,configuration_wall_time_seconds,singular_values,timescales,cumulative_kinetic_variance,numerical_warnings
pure_reference,202,3,16,1,dependency_free,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,191,16,2,0,True,172.8,561.5447768442386,547.5447768442386,14.0,2.0634131673411176,4.179739898129685,58,0.14015942299738526,8.454022942110896,"[1.0, 1.0, 1.0]",[],[],[]
deeptime_vamp_kmeans,303,3,8,1,deeptime,2438d4dcc6743e6dcae3d9304bc6e25175a6578a5a8c6897d646f6b5271541f6,3.6011825320436346,143,192,8,2,0,True,155.8,394.3740303570042,369.3740303570043,24.999999999999886,0.9217687735712228,1.8944364880517233,58,0.08501443709246814,1.3849101408850402,"[0.9999999999999986, 0.9999999999999888, 0.9999999999976075]","[692861481133922.0, 89180190640999.42, 417967482818.10754]","[0.02018640120501461, 0.04037280241002883, 0.060559203614946905]",[]
deeptime_vamp_kmeans,303,3,8,3,deeptime,2438d4dcc6743e6dcae3d9304bc6e25175a6578a5a8c6897d646f6b5271541f6,3.6011825320436346,143,192,8,2,0,True,173.8,378.9737511814398,373.47375118143975,5.500000000000057,2.598917686501763,6.058319593985528,58,0.10007140482775867,1.5750818240921944,"[1.0000000000058589, 1.0000000000007754, 0.9999999999999836]","[-512044223533.3536, -3869071844821.5137, 182578363271775.34]","[0.02018158663227085, 0.04036317326433651, 0.060544759896370225]",[]
deeptime_vamp_kmeans,303,3,16,1,deeptime,2438d4dcc6743e6dcae3d9304bc6e25175a6578a5a8c6897d646f6b5271541f6,3.6011825320436346,143,192,16,2,0,True,179.8,563.3869485272091,552.8869485272089,10.500000000000227,2.195840921935183,4.5815663798844515,58,0.1328107921872288,0.9113508178852499,"[0.9999999999999986, 0.9999999999999888, 0.9999999999976075]","[692861481133922.0, 89180190640999.42, 417967482818.10754]","[0.02018640120501461, 0.04037280241002883, 0.060559203614946905]",[]
deeptime_vamp_kmeans,303,3,16,3,deeptime,2438d4dcc6743e6dcae3d9304bc6e25175a6578a5a8c6897d646f6b5271541f6,3.6011825320436346,143,192,16,2,0,True,182.8,546.6474931120476,540.1474931120476,6.5,3.8087010016526706,14.013068533593037,58,0.06783610698767006,0.6623655690345913,"[1.0000000000058589, 1.0000000000007754, 0.9999999999999836]","[-512044223533.3536, -3869071844821.5137, 182578363271775.34]","[0.02018158663227085, 0.04036317326433651, 0.060544759896370225]",[]
deeptime_vamp_kmeans,303,3,24,1,deeptime,2438d4dcc6743e6dcae3d9304bc6e25175a6578a5a8c6897d646f6b5271541f6,3.6011825320436346,143,192,24,2,0,True,186.8,674.1067857592984,669.1067857592981,5.000000000000341,3.5813160602408787,11.96970805861341,58,0.10548115009441972,0.7903202150482684,"[0.9999999999999986, 0.9999999999999888, 0.9999999999976075]","[692861481133922.0, 89180190640999.42, 417967482818.10754]","[0.02018640120501461, 0.04037280241002883, 0.060559203614946905]",[]
deeptime_vamp_kmeans,303,3,24,3,deeptime,2438d4dcc6743e6dcae3d9304bc6e25175a6578a5a8c6897d646f6b5271541f6,3.6011825320436346,143,192,24,2,0,True,189.8,653.49755640066,651.4975564006597,2.0000000000002274,4.587400647946943,24.040594169315625,58,0.06607762607745826,0.6239928230643272,"[1.0000000000058589, 1.0000000000007754, 0.9999999999999836]","[-512044223533.3536, -3869071844821.5137, 182578363271775.34]","[0.02018158663227085, 0.04036317326433651, 0.060544759896370225]",[]
deeptime_vamp_kmeans,303,5,8,1,deeptime,2438d4dcc6743e6dcae3d9304bc6e25175a6578a5a8c6897d646f6b5271541f6,3.6011825320436346,143,192,8,2,0,True,167.8,393.4010311680884,376.9010311680884,16.5,2.119312518048586,4.344868513136456,58,0.09925448312424123,0.7462862939573824,"[0.9999999999999986, 0.9999999999999888, 0.9999999999976075, 0.9999853479610459, 0.999768531301883]","[692861481133922.0, 89180190640999.42, 417967482818.10754, 68249.38679823373, 4319.738562146104]","[0.02018640120501461, 0.04037280241002883, 0.060559203614946905, 0.08074501328042163, 0.10092207052696525]",[]
deeptime_vamp_kmeans,303,5,8,3,deeptime,2438d4dcc6743e6dcae3d9304bc6e25175a6578a5a8c6897d646f6b5271541f6,3.6011825320436346,143,192,8,2,0,True,170.8,390.8396670170178,379.33966701701786,11.499999999999943,2.319876567239261,4.99289499986442,58,0.08525336184538901,1.1236281469464302,"[1.0000000000058589, 1.0000000000007754, 0.9999999999999836, 0.9999999999999795, 0.9998871479667989]","[-512044223533.3536, -3869071844821.5137, 182578363271775.34, 146062690617420.0, 26581.982031465486]","[0.02018158663227085, 0.04036317326433651, 0.060544759896370225, 0.08072634652840377, 0.10090337835129308]",[]
deeptime_vamp_kmeans,303,5,16,1,deeptime,2438d4dcc6743e6dcae3d9304bc6e25175a6578a5a8c6897d646f6b5271541f6,3.6011825320436346,143,192,16,2,0,True,185.8,558.7712139300017,555.2712139300016,3.5000000000001137,3.5126363780331085,11.413239050008116,58,0.10500522120855749,0.9886269469279796,"[0.9999999999999986, 0.9999999999999888, 0.9999999999976075, 0.9999853479610459, 0.999768531301883]","[692861481133922.0, 89180190640999.42, 417967482818.10754, 68249.38679823373, 4319.738562146104]","[0.02018640120501461, 0.04037280241002883, 0.060559203614946905, 0.08074501328042163, 0.10092207052696525]",[]
